SerialNo,CustomerID,CustomerName,Age,Gender,City,SubscriptionType,MonthlySpending,Tenure,NumberOfPurchases,CustomerSupportRequests,LoginFrequency,LastActivityDate,SatisfactionScore,ChurnStatus
453,CUST0453,Rizwan Rana,23.0,Male,Multan,Standard,1259.89,10,10,1,24.0,2026-03-11,3.5,1
454,CUST0454,Iqra Ali,42.0,Female,Faisalabad,Basic,501.94,13,18,2,16.0,2026-05-17,3.8,0
455,CUST0455,Faraz Sheikh,33.0,Male,Gujranwala,Premium,1453.73,15,18,2,8.0,2026-05-14,3.0,0
456,CUST0456,Rizwan Butt,40.0,Male,Hyderabad,Basic,305.06,14,19,2,13.0,2026-04-20,1.9,0
457,CUST0457,Sara Baig,42.0,Female,Gujranwala,Basic,,1,2,1,12.0,2026-03-31,3.9,0
458,CUST0458,Saba Khan,50.0,Female,Bahawalpur,Standard,990.14,6,8,3,21.0,2026-05-31,2.3,1
459,CUST0459,Saba Khan,35.0,Female,Bahawalpur,Basic,648.98,6,6,0,19.0,2026-05-02,3.4,0
460,CUST0460,Naveed Sheikh,33.0,Male,Sargodha,Premium,3201.77,8,15,4,,2026-05-31,3.6,0
461,CUST0461,Nadia Hashmi,45.0,Female,Lahore,Basic,594.88,2,2,1,14.0,2026-05-17,1.8,0
462,CUST0462,Rida Baig,28.0,Female,Sialkot,Basic,515.09,32,48,1,10.0,2026-05-05,2.5,0
463,CUST0463,Farida Nawaz,31.0,Female,Islamabad,Premium,2380.92,60,99,1,21.0,2026-04-17,,0
464,CUST0464,Rida Iqbal,,Female,Lahore,Standard,1293.83,3,3,4,7.0,2026-05-31,1.8,1
465,CUST0465,Imran Sheikh,22.0,Male,Islamabad,Basic,499.02,9,12,1,5.0,2026-05-28,2.0,1
466,CUST0466,Mehwish Nawaz,42.0,Female,Islamabad,Standard,1422.78,3,3,5,12.0,2026-04-07,2.4,1
467,CUST0467,Asma Butt,51.0,Female,Hyderabad,Basic,629.27,36,42,3,19.0,2026-05-30,4.4,0
468,CUST0468,Faraz Hashmi,19.0,Male,Sialkot,Basic,485.67,7,11,2,15.0,2026-02-02,4.7,1
469,CUST0469,Asad Malik,31.0,Male,Rawalpindi,Premium,2202.94,18,25,0,30.0,2026-05-01,4.7,0
470,CUST0470,Mehwish Rana,26.0,Female,Peshawar,Premium,1832.69,33,42,3,22.0,2026-05-16,3.7,0
471,CUST0471,Usman Iqbal,34.0,Male,Karachi,Premium,2751.55,2,5,0,8.0,2026-04-17,4.6,1
472,CUST0472,Tariq Hussain,26.0,Male,Hyderabad,Basic,217.06,27,38,2,11.0,2026-05-10,4.6,0
473,CUST0473,Asma Bhatti,20.0,Female,Lahore,Standard,1412.9,5,8,0,8.0,2026-05-31,1.1,1
474,CUST0474,Asma Ahmed,43.0,Female,Sargodha,Premium,4056.46,5,6,3,26.0,2026-06-01,4.2,0
475,CUST0475,Zara Hussain,28.0,Female,Faisalabad,Premium,2510.93,15,23,2,3.0,2026-05-13,3.3,1
476,CUST0476,Noor Ali,62.0,Female,Quetta,Premium,1882.74,7,7,5,16.0,2026-05-10,4.4,1
477,CUST0477,Zubair Iqbal,61.0,Male,Bahawalpur,Basic,431.33,14,24,1,25.0,2026-04-27,3.0,0
478,CUST0478,Maria Nawaz,18.0,Female,Islamabad,Premium,2488.98,10,20,1,12.0,2026-05-21,4.2,0
479,CUST0479,Naveed Mirza,43.0,Male,Hyderabad,Basic,501.95,1,2,1,20.0,2026-04-19,3.3,0
480,CUST0480,Rabia Qureshi,38.0,Female,Sialkot,Basic,500.32,11,8,1,19.0,2026-04-24,1.9,0
481,CUST0481,Bilal Ansari,53.0,Male,Larkana,Basic,508.54,14,22,0,2.0,2026-06-01,3.7,1
482,CUST0482,Bilal Hussain,46.0,Male,Islamabad,Premium,3662.34,60,89,4,5.0,2026-05-31,5.0,0
483,CUST0483,Uzma Malik,19.0,Female,Sialkot,Standard,1000.75,20,42,1,9.0,2026-03-12,3.6,0
484,CUST0484,Farida Ali,43.0,Female,Gujranwala,Premium,3095.37,31,47,1,11.0,2026-05-03,5.0,0
485,CUST0485,Saima Raja,42.0,Female,Bahawalpur,Enterprise,4987.59,8,11,2,12.0,2026-06-01,2.6,0
486,CUST0486,Iqra Iqbal,43.0,Female,Karachi,Premium,2158.18,4,2,0,19.0,2026-03-19,4.2,0
487,CUST0487,Waqar Mirza,40.0,Male,Sukkur,Basic,584.38,1,4,3,10.0,2026-04-15,2.8,0
488,CUST0488,Junaid Chaudhry,29.0,Male,Quetta,Basic,605.8,33,51,1,14.0,2026-04-29,,0
489,CUST0489,Asma Iqbal,33.0,Female,Islamabad,Standard,1437.59,16,19,2,15.0,2026-05-12,2.7,0
490,CUST0490,Ayesha Ahmed,32.0,Female,Lahore,Standard,928.76,7,11,0,20.0,2026-05-19,4.5,0
491,CUST0491,Hassan Butt,23.0,Male,Quetta,Standard,1067.11,15,17,3,14.0,2026-05-30,3.5,0
492,CUST0492,Nadia Malik,40.0,Female,Larkana,Standard,1254.36,5,9,2,8.0,2026-04-05,2.0,1
493,CUST0493,Sana Mirza,24.0,Female,Faisalabad,Basic,592.57,2,4,3,15.0,2026-03-11,2.4,1
494,CUST0494,Ali Baig,44.0,Male,Gujranwala,Basic,460.58,25,33,0,9.0,2026-05-19,4.1,0
495,CUST0495,Junaid Ali,56.0,Male,Bahawalpur,Basic,501.35,2,4,4,17.0,2026-05-10,2.6,1
496,CUST0496,Bilal Iqbal,18.0,Male,Rawalpindi,Standard,1488.62,42,65,3,12.0,2026-05-17,4.0,0
497,CUST0497,Faraz Sheikh,44.0,Male,Sukkur,Standard,1301.73,1,2,1,9.0,2026-05-28,2.4,1
498,CUST0498,Kamran Baig,42.0,Male,Lahore,Premium,1637.16,10,13,4,12.0,2026-04-13,2.6,1
499,CUST0499,Noor Qureshi,18.0,Female,Islamabad,Basic,572.41,14,21,2,4.0,2026-05-09,2.2,0
500,CUST0500,Bilal Ali,43.0,Male,Hyderabad,Standard,940.91,29,45,3,26.0,2026-05-18,4.0,0
501,CUST0501,Waqar Mirza,30.0,Male,Bahawalpur,Basic,313.2,30,57,2,20.0,2026-04-10,2.5,0
502,CUST0502,Rida Hashmi,31.0,Female,Sukkur,Basic,608.21,1,1,2,13.0,2026-05-05,4.7,0
503,CUST0503,Hassan Iqbal,31.0,Male,Bahawalpur,Basic,434.36,1,3,2,19.0,2026-06-01,3.6,0
504,CUST0504,Hina Hussain,48.0,Female,Faisalabad,Standard,1250.47,11,15,2,16.0,2025-12-03,4.7,1
505,CUST0505,Fatima Qureshi,22.0,Female,Rawalpindi,Standard,965.7,3,5,2,17.0,2026-05-27,4.4,0
506,CUST0506,Rabia Ahmed,18.0,Female,Sargodha,Premium,2219.33,24,23,2,19.0,2026-03-10,3.9,0
507,CUST0507,Saba Sheikh,39.0,Female,Rawalpindi,Standard,1285.21,14,26,1,2.0,2026-02-24,3.2,1
508,CUST0508,Saad Siddiqui,27.0,Male,Islamabad,Basic,470.74,13,10,1,24.0,2026-04-22,3.2,0
509,CUST0509,Noor Javed,18.0,Female,Gujranwala,Basic,418.53,6,5,3,30.0,2026-02-11,1.3,1
510,CUST0510,Ahmed Iqbal,28.0,Male,Lahore,Basic,553.88,4,7,2,12.0,2026-05-15,2.2,1
511,CUST0511,Omer Bhatti,26.0,Male,Faisalabad,Standard,1238.81,4,6,2,15.0,2026-05-22,2.7,0
512,CUST0512,Mehwish Baig,20.0,Female,Lahore,Standard,1104.64,15,34,0,4.0,2026-04-04,4.7,0
513,CUST0513,Tariq Ali,18.0,Male,Faisalabad,Basic,471.63,3,4,3,8.0,2026-05-11,3.1,0
514,CUST0514,Shahid Siddiqui,46.0,Male,Peshawar,Standard,1178.14,47,68,2,9.0,2026-05-25,1.7,0
515,CUST0515,Imran Ansari,19.0,Male,Bahawalpur,Enterprise,,1,1,4,10.0,2026-05-27,,0
516,CUST0516,Usman Ansari,44.0,Male,Lahore,Standard,1146.75,17,24,0,17.0,2026-05-04,2.1,0
517,CUST0517,Maria Sheikh,33.0,Female,Karachi,Premium,2258.86,18,30,1,7.0,2026-03-05,3.3,0
518,CUST0518,Asad Mirza,18.0,Male,Hyderabad,Standard,1135.46,26,39,3,25.0,2026-05-28,3.9,0
519,CUST0519,Maria Mirza,39.0,Female,Islamabad,Premium,2353.52,1,2,0,11.0,2026-05-09,4.6,0
520,CUST0520,Ahmed Siddiqui,,Male,Sargodha,Standard,1448.68,56,85,3,12.0,2026-04-30,4.5,0
521,CUST0521,Lubna Ali,18.0,Female,Quetta,Standard,1167.17,16,14,4,20.0,2026-04-08,3.6,0
522,CUST0522,Lubna Butt,29.0,Female,Multan,Basic,584.18,10,15,0,13.0,2026-03-14,3.4,0
523,CUST0523,Kamran Bhatti,56.0,Male,Karachi,Basic,585.89,43,61,0,18.0,2026-04-19,3.1,0
524,CUST0524,Ali Rana,20.0,Male,Multan,Basic,349.71,13,15,2,22.0,2026-05-24,,0
525,CUST0525,Shahid Ansari,32.0,Male,Rawalpindi,Basic,435.53,24,37,4,14.0,2026-05-28,3.6,0
526,CUST0526,Amna Ali,20.0,Female,Sialkot,Basic,595.25,15,24,2,29.0,2026-04-17,4.0,0
527,CUST0527,Hamza Hussain,54.0,Male,Sargodha,Standard,916.43,2,3,1,15.0,2026-03-14,4.5,1
528,CUST0528,Sana Hashmi,18.0,Female,Sukkur,Basic,187.95,2,7,0,11.0,2026-05-12,3.6,0
529,CUST0529,Sana Javed,30.0,Female,Quetta,Basic,,8,11,0,5.0,2026-05-07,3.5,0
530,CUST0530,Rida Hussain,45.0,Female,Quetta,Basic,703.62,24,33,3,23.0,2026-05-21,,0
531,CUST0531,Shahid Hussain,37.0,Male,Islamabad,Basic,550.18,2,3,2,4.0,2026-05-30,4.2,1
532,CUST0532,Shahid Mirza,32.0,Male,Gujranwala,Premium,2985.16,22,43,1,16.0,2026-05-07,3.1,0
533,CUST0533,Fatima Baig,47.0,Female,Sukkur,Premium,2546.58,9,13,1,14.0,2026-05-14,3.7,0
534,CUST0534,Rizwan Hussain,23.0,Male,Peshawar,Standard,1314.4,11,18,0,,2026-03-12,4.4,1
535,CUST0535,Tariq Ali,46.0,Male,Karachi,Enterprise,5826.23,4,8,2,10.0,2026-05-03,5.0,0
536,CUST0536,Noor Hashmi,47.0,Female,Bahawalpur,Basic,601.22,1,2,1,13.0,2026-04-21,4.4,1
537,CUST0537,Omer Ali,34.0,Male,Sialkot,Standard,978.62,60,98,1,24.0,2026-04-18,3.1,0
538,CUST0538,Kamran Qureshi,18.0,Male,Faisalabad,Premium,3166.94,12,19,2,16.0,2026-05-28,4.8,0
539,CUST0539,Iqra Siddiqui,33.0,Female,Quetta,Basic,550.87,2,3,1,23.0,2026-05-14,3.0,1
540,CUST0540,Bilal Iqbal,28.0,Male,Lahore,Basic,424.26,12,13,5,12.0,2026-03-26,2.8,1
541,CUST0541,Iqra Ansari,33.0,Female,Lahore,Standard,1193.92,10,13,4,2.0,2026-05-31,3.8,0
542,CUST0542,Waqar Qureshi,45.0,Male,Quetta,Basic,539.8,3,7,0,11.0,2026-05-24,5.0,1
543,CUST0543,Imran Nawaz,41.0,Male,Karachi,Basic,396.63,1,1,1,0.0,2026-05-21,3.3,0
544,CUST0544,Usman Hussain,36.0,Male,Multan,Basic,533.34,1,2,0,19.0,2026-05-07,4.9,1
545,CUST0545,Amna Butt,20.0,Female,Karachi,Enterprise,5522.51,12,18,3,14.0,2026-05-27,2.5,0
546,CUST0546,Hassan Hashmi,18.0,Male,Lahore,Premium,2395.34,18,20,2,21.0,2026-06-01,2.8,1
547,CUST0547,Ali Hussain,35.0,Male,Islamabad,Basic,551.66,6,7,3,10.0,2026-04-22,2.9,0
548,CUST0548,Naveed Iqbal,38.0,Male,Faisalabad,Enterprise,3697.16,4,5,2,14.0,2026-04-27,4.1,0
549,CUST0549,Zubair Hashmi,68.0,Male,Sargodha,Basic,260.92,5,7,1,17.0,2026-04-26,3.3,0
550,CUST0550,Zara Ahmed,57.0,Female,Quetta,Basic,282.62,34,51,2,17.0,2026-05-02,4.2,0
551,CUST0551,Saba Rana,37.0,Female,Karachi,Basic,415.82,2,1,2,6.0,2026-01-22,3.2,1
552,CUST0552,Nadia Butt,57.0,Female,Faisalabad,Basic,559.84,7,8,1,16.0,2026-05-23,4.9,0
553,CUST0553,Adnan Nawaz,38.0,Male,Sialkot,Basic,566.6,5,7,1,4.0,2026-05-24,1.4,1
554,CUST0554,Asma Rana,34.0,Female,Karachi,Basic,630.91,14,18,0,8.0,2026-04-27,4.1,0
555,CUST0555,Nadia Bhatti,18.0,Female,Rawalpindi,Standard,768.43,11,15,3,5.0,2026-05-25,3.3,0
556,CUST0556,Omer Mirza,27.0,Male,Quetta,Standard,1032.55,5,4,2,20.0,2026-05-29,2.2,1
557,CUST0557,Saba Raja,18.0,Female,Islamabad,Basic,639.25,5,10,2,23.0,2026-05-20,5.0,0
558,CUST0558,Tariq Ahmed,35.0,Male,Sargodha,Enterprise,6091.81,9,13,0,13.0,2026-05-20,4.6,0
559,CUST0559,Hamza Sheikh,32.0,Male,Rawalpindi,Standard,936.48,12,17,4,3.0,2026-05-07,2.5,1
560,CUST0560,Kamran Iqbal,42.0,Male,Sukkur,Enterprise,3900.96,14,26,0,19.0,2026-05-16,3.6,0
561,CUST0561,Hamza Hussain,46.0,Male,Sialkot,Basic,,47,73,1,15.0,2026-05-08,1.2,0
562,CUST0562,Lubna Khan,24.0,Female,Bahawalpur,Premium,3161.08,17,27,2,12.0,2026-05-12,3.1,0
563,CUST0563,Naveed Chaudhry,40.0,Male,Sukkur,Enterprise,5833.6,28,39,1,15.0,2026-01-17,2.9,0
564,CUST0564,Asma Qureshi,26.0,Female,Islamabad,Standard,1394.3,31,45,2,15.0,2026-05-10,2.1,1
565,CUST0565,Adnan Hussain,42.0,Male,Karachi,Standard,1390.84,19,21,3,19.0,2026-05-28,1.3,1
566,CUST0566,Bilal Siddiqui,38.0,Male,Bahawalpur,Basic,379.84,22,43,2,15.0,2026-04-29,2.5,0
567,CUST0567,Ayesha Khan,54.0,Female,Islamabad,Standard,1063.4,13,12,3,21.0,2026-05-27,2.3,0
568,CUST0568,Rizwan Mirza,45.0,Male,Lahore,Basic,517.15,6,8,1,22.0,2026-02-15,2.7,0
569,CUST0569,Lubna Sheikh,48.0,Female,Multan,Basic,481.13,15,17,3,16.0,2026-05-12,3.9,1
570,CUST0570,Junaid Rana,18.0,Male,Gujranwala,Basic,596.79,60,95,2,14.0,2026-05-20,3.1,0
571,CUST0571,Sara Iqbal,18.0,Female,Sukkur,Basic,457.52,3,5,1,19.0,2026-04-21,4.2,0
572,CUST0572,Hina Butt,46.0,Female,Bahawalpur,Basic,621.85,11,18,3,21.0,2026-04-27,2.2,0
573,CUST0573,Lubna Ahmed,30.0,Female,Islamabad,Standard,1405.06,26,40,3,30.0,2026-05-13,4.1,0
574,CUST0574,Naveed Sheikh,37.0,Male,Larkana,Standard,1134.5,24,32,1,12.0,2026-05-06,4.0,0
575,CUST0575,Kamran Mirza,37.0,Male,Multan,Basic,545.28,9,16,3,11.0,2026-06-01,3.4,0
576,CUST0576,Faraz Hashmi,53.0,Male,Karachi,Basic,532.02,13,25,1,9.0,2026-03-01,3.4,1
577,CUST0577,Saad Raja,38.0,Male,Sargodha,Basic,495.97,14,29,2,13.0,2026-03-12,2.6,1
578,CUST0578,Farida Ansari,54.0,Female,Islamabad,Premium,3770.81,2,0,1,19.0,2026-05-25,3.7,0
579,CUST0579,Noor Javed,27.0,Female,Peshawar,Basic,523.06,16,18,2,18.0,2026-05-22,2.8,0
580,CUST0580,Hamza Hashmi,23.0,Male,Lahore,Premium,,20,23,2,18.0,2026-05-30,2.3,1
581,CUST0581,Faraz Raja,53.0,Male,Lahore,Basic,422.19,19,30,1,15.0,2026-04-25,5.0,0
582,CUST0582,Maria Ali,25.0,Female,Hyderabad,Enterprise,3852.84,7,11,0,,2026-05-20,4.2,0
583,CUST0583,Rida Nawaz,50.0,Female,Larkana,Standard,1730.2,4,3,2,9.0,2026-05-29,3.2,1
584,CUST0584,Adnan Ansari,43.0,Male,Islamabad,Basic,544.85,5,2,0,4.0,2026-05-11,3.1,1
585,CUST0585,Junaid Javed,36.0,Male,Bahawalpur,Enterprise,5871.52,7,9,4,8.0,2026-05-26,3.6,0
586,CUST0586,Rabia Hussain,18.0,Female,Lahore,Basic,460.44,37,47,4,9.0,2026-05-14,3.4,0
587,CUST0587,Hina Ahmed,40.0,Female,Multan,Basic,,32,48,0,22.0,2026-04-16,2.4,1
588,CUST0588,Nadia Sheikh,34.0,Female,Karachi,Basic,310.83,9,12,1,11.0,2026-05-19,2.4,0
589,CUST0589,Asad Sheikh,36.0,Male,Faisalabad,Premium,2986.95,14,23,1,14.0,2026-05-09,2.8,0
590,CUST0590,Sana Javed,28.0,Female,Peshawar,Basic,556.07,9,11,1,13.0,2026-05-12,4.9,0
591,CUST0591,Maria Hashmi,40.0,Female,Karachi,Basic,579.0,12,15,1,20.0,2026-05-31,2.9,0
592,CUST0592,Tariq Iqbal,,Male,Karachi,Basic,628.44,12,24,1,9.0,2026-05-29,3.9,0
593,CUST0593,Usman Mirza,56.0,Male,Sargodha,Standard,944.58,22,27,5,18.0,2026-05-05,4.1,0
594,CUST0594,Shahid Ahmed,20.0,Male,Sukkur,Basic,415.99,2,4,2,7.0,2026-05-03,3.2,0
595,CUST0595,Lubna Hussain,38.0,Female,Quetta,Basic,514.09,5,7,1,12.0,2026-05-28,4.2,0
596,CUST0596,Rizwan Iqbal,63.0,Male,Larkana,Standard,1015.83,1,1,4,15.0,2026-05-27,4.4,0
597,CUST0597,Hassan Hashmi,36.0,Male,Islamabad,Enterprise,5185.84,23,38,2,25.0,2026-04-17,3.2,0
598,CUST0598,Zubair Malik,52.0,Male,Karachi,Standard,1145.09,32,51,1,12.0,2026-05-25,2.9,0
599,CUST0599,Nadia Malik,45.0,Female,Sukkur,Standard,1176.88,1,2,4,14.0,2026-04-08,3.5,0
600,CUST0600,Usman Baig,59.0,Male,Hyderabad,Basic,421.37,4,10,2,24.0,2026-05-19,3.6,0
601,CUST0601,Saima Hashmi,19.0,Female,Larkana,Premium,2858.54,2,2,4,8.0,2026-04-26,3.4,0
602,CUST0602,Zara Ansari,46.0,Female,Islamabad,Basic,562.39,9,12,3,,2026-05-15,3.3,0
603,CUST0603,Hassan Iqbal,18.0,Male,Sargodha,Basic,690.11,9,16,2,2.0,2026-05-13,,1
604,CUST0604,Mehwish Raja,25.0,Female,Peshawar,Standard,1097.57,4,5,5,13.0,2026-05-06,2.2,0
605,CUST0605,Ayesha Butt,28.0,Female,Faisalabad,Standard,1169.64,29,45,4,3.0,2026-04-23,2.8,0
606,CUST0606,Ayesha Baig,26.0,Female,Larkana,Premium,2237.59,13,17,0,5.0,2026-06-01,4.4,0
607,CUST0607,Asad Raja,30.0,Male,Larkana,Basic,550.43,27,38,0,18.0,2026-05-09,3.4,0
608,CUST0608,Rabia Raja,27.0,Female,Sukkur,Standard,1112.61,21,34,1,18.0,2026-05-21,3.3,0
609,CUST0609,Kamran Malik,37.0,Male,Faisalabad,Enterprise,3351.02,31,53,2,13.0,2026-05-13,2.5,0
610,CUST0610,Amna Ansari,18.0,Female,Sialkot,Standard,878.53,1,2,3,5.0,2026-05-24,4.4,1
611,CUST0611,Junaid Rana,29.0,Male,Sargodha,Standard,1057.1,49,74,2,11.0,2026-05-21,2.3,1
612,CUST0612,Rizwan Butt,20.0,Male,Lahore,Basic,599.6,15,13,3,11.0,2026-05-31,3.1,0
613,CUST0613,Rizwan Iqbal,24.0,Male,Karachi,Basic,451.7,3,2,2,7.0,2026-04-23,2.5,0
614,CUST0614,Ali Hussain,32.0,Male,Karachi,Standard,1270.73,1,2,1,19.0,2026-05-26,5.0,0
615,CUST0615,Tariq Mirza,51.0,Male,Sukkur,Standard,1145.26,16,16,3,21.0,2026-06-01,4.7,0
616,CUST0616,Ahmed Hussain,18.0,Male,Multan,Standard,978.8,19,24,4,6.0,2026-04-04,5.0,0
617,CUST0617,Lubna Javed,50.0,Female,Multan,Basic,549.14,1,0,1,6.0,2026-05-04,4.9,0
618,CUST0618,Sana Qureshi,22.0,Female,Karachi,Basic,629.24,2,1,3,12.0,2026-05-20,3.4,1
619,CUST0619,Kamran Hussain,45.0,Male,Gujranwala,Basic,325.96,33,48,0,18.0,2026-04-27,3.5,0
620,CUST0620,Ahmed Rana,41.0,Male,Larkana,Basic,546.0,17,28,3,11.0,2026-05-20,3.0,0
621,CUST0621,Kamran Raja,38.0,Male,Sialkot,Premium,1162.72,11,13,2,17.0,2026-04-04,4.1,0
622,CUST0622,Mehwish Baig,21.0,Female,Sukkur,Basic,498.5,21,26,0,14.0,2026-03-23,3.6,1
623,CUST0623,Rabia Bhatti,33.0,Female,Sukkur,Standard,1466.9,24,38,4,25.0,2026-04-11,3.3,0
624,CUST0624,Rizwan Mirza,19.0,Male,Hyderabad,Standard,1252.89,11,21,3,16.0,2026-05-26,4.7,0
625,CUST0625,Zara Rana,21.0,Female,Lahore,Basic,403.54,13,10,1,13.0,2026-05-11,2.0,1
626,CUST0626,Amna Raja,31.0,Female,Gujranwala,Premium,3272.49,28,44,1,25.0,2026-05-06,2.9,0
627,CUST0627,Nadia Malik,21.0,Female,Hyderabad,Premium,2306.12,4,7,3,9.0,2026-02-26,3.7,0
628,CUST0628,Iqra Malik,46.0,Female,Bahawalpur,Basic,568.71,21,33,5,4.0,2026-06-01,3.3,0
629,CUST0629,Amna Ansari,35.0,Female,Peshawar,Basic,337.75,8,10,0,25.0,2026-05-28,3.9,1
630,CUST0630,Faraz Hussain,18.0,Male,Gujranwala,Standard,1309.73,4,1,1,13.0,2026-05-06,3.2,0
631,CUST0631,Saima Qureshi,30.0,Female,Sukkur,Basic,495.85,18,26,1,6.0,2026-04-27,3.2,0
632,CUST0632,Imran Sheikh,48.0,Male,Quetta,Basic,520.07,2,3,2,6.0,2026-02-27,5.0,1
633,CUST0633,Faraz Ali,37.0,Male,Rawalpindi,Basic,491.49,41,56,2,1.0,2026-06-01,3.7,0
634,CUST0634,Mehwish Siddiqui,26.0,Female,Multan,Basic,407.59,10,11,1,24.0,2026-02-28,4.8,1
635,CUST0635,Asad Ahmed,46.0,Male,Sukkur,Standard,1386.46,1,1,2,20.0,2026-05-26,3.4,0
636,CUST0636,Asad Chaudhry,19.0,Male,Hyderabad,Basic,521.08,6,6,3,24.0,2026-04-28,4.4,0
637,CUST0637,Mehwish Ahmed,21.0,Female,Sukkur,Premium,2088.08,56,100,3,23.0,2026-06-01,1.1,1
638,CUST0638,Faraz Ansari,52.0,Male,Sialkot,Premium,2354.77,20,32,0,25.0,2026-05-09,3.8,0
639,CUST0639,Faraz Butt,25.0,Male,Sargodha,Basic,459.79,39,58,4,24.0,2026-05-18,3.6,0
640,CUST0640,Faraz Ahmed,,Male,Karachi,Standard,1146.37,44,53,2,16.0,2026-04-18,2.8,0
641,CUST0641,Naveed Butt,30.0,Male,Quetta,Premium,2689.97,40,64,4,10.0,2026-05-18,2.0,0
642,CUST0642,Adnan Ansari,22.0,Male,Gujranwala,Standard,978.67,35,39,1,14.0,2026-04-19,3.3,0
643,CUST0643,Saba Khan,31.0,Female,Karachi,Standard,1287.78,11,16,4,20.0,2026-04-22,3.3,0
644,CUST0644,Faraz Bhatti,55.0,Male,Rawalpindi,Basic,747.33,7,11,3,0.0,2026-04-28,2.3,1
645,CUST0645,Kamran Mirza,43.0,Male,Faisalabad,Basic,369.93,37,54,1,23.0,2026-06-01,3.5,0
646,CUST0646,Maria Ali,18.0,Female,Sukkur,Basic,571.42,35,48,2,3.0,2026-04-13,2.8,0
647,CUST0647,Saima Nawaz,32.0,Female,Hyderabad,Basic,639.92,16,25,1,16.0,2026-05-15,1.8,0
648,CUST0648,Faraz Rana,24.0,Male,Multan,Premium,2436.73,22,28,1,2.0,2026-05-15,4.7,1
649,CUST0649,Fatima Hussain,18.0,Female,Rawalpindi,Premium,2589.26,3,3,3,11.0,2026-04-13,2.8,1
650,CUST0650,Naveed Bhatti,18.0,Male,Islamabad,Basic,498.77,1,1,2,,2026-05-20,2.3,0
651,CUST0651,Omer Raja,18.0,Male,Sargodha,Standard,1391.61,1,0,1,6.0,2026-06-01,4.3,1
652,CUST0652,Hassan Khan,64.0,Male,Karachi,Standard,1304.91,59,91,4,15.0,2026-04-22,1.8,0
653,CUST0653,Zara Javed,25.0,Female,Faisalabad,Standard,1201.36,23,40,4,19.0,2026-05-12,3.9,0
654,CUST0654,Imran Ansari,48.0,Male,Gujranwala,Basic,419.4,4,6,1,12.0,2026-05-18,1.9,0
655,CUST0655,Junaid Sheikh,34.0,Male,Hyderabad,Premium,2605.12,1,0,3,15.0,2026-05-11,2.8,1
656,CUST0656,Hassan Rana,20.0,Male,Rawalpindi,Standard,1307.96,5,7,3,19.0,2026-05-28,4.1,0
657,CUST0657,Saad Ansari,21.0,Male,Faisalabad,Basic,464.2,5,8,1,22.0,2026-05-07,2.2,0
658,CUST0658,Asad Siddiqui,29.0,Male,Rawalpindi,Basic,165.24,23,25,1,18.0,2026-05-15,2.8,0
659,CUST0659,Naveed Rana,22.0,Male,Islamabad,Enterprise,4725.36,12,12,2,12.0,2026-04-19,4.7,0
660,CUST0660,Hassan Raja,29.0,Male,Gujranwala,Basic,369.89,33,46,3,10.0,2026-01-04,3.3,0
661,CUST0661,Amna Hashmi,30.0,Female,Karachi,Basic,570.25,18,24,1,26.0,2026-05-11,2.9,0
662,CUST0662,Imran Mirza,67.0,Male,Sargodha,Standard,1223.32,45,49,3,16.0,2026-04-30,3.6,0
663,CUST0663,Hassan Ahmed,28.0,Male,Karachi,Premium,2461.25,45,67,2,28.0,2026-05-11,4.7,0
664,CUST0664,Faraz Mirza,38.0,Male,Larkana,Standard,1263.18,17,24,3,13.0,2026-05-18,2.8,0
665,CUST0665,Saad Siddiqui,39.0,Male,Islamabad,Basic,362.16,10,19,3,20.0,2026-02-03,3.0,1
666,CUST0666,Amna Baig,31.0,Female,Bahawalpur,Premium,2498.25,2,2,5,25.0,2026-05-03,4.8,0
667,CUST0667,Hassan Malik,38.0,Male,Bahawalpur,Premium,2516.09,23,29,3,21.0,2026-05-31,5.0,0
668,CUST0668,Hassan Ansari,48.0,Male,Larkana,Standard,1295.87,3,3,2,18.0,2026-05-04,2.5,0
669,CUST0669,Maria Nawaz,26.0,Female,Peshawar,Premium,2621.48,40,57,4,,2026-03-13,4.0,0
670,CUST0670,Asad Rana,40.0,Male,Lahore,Premium,1738.83,5,4,4,0.0,2026-06-01,4.6,0
671,CUST0671,Tariq Siddiqui,58.0,Male,Karachi,Premium,2843.48,16,28,0,16.0,2026-05-23,2.6,0
672,CUST0672,Faraz Bhatti,33.0,Male,Hyderabad,Standard,1010.83,14,19,3,20.0,2026-06-01,5.0,0
673,CUST0673,Sara Rana,23.0,Female,Multan,Standard,1555.41,51,86,1,12.0,2026-05-22,1.4,0
674,CUST0674,Shahid Nawaz,19.0,Male,Karachi,Basic,505.64,60,106,3,19.0,2026-05-12,1.8,0
675,CUST0675,Uzma Butt,18.0,Female,Lahore,Premium,2809.83,8,6,1,15.0,2026-05-23,3.2,0
676,CUST0676,Amna Ahmed,34.0,Female,Hyderabad,Basic,608.75,6,12,2,11.0,2026-02-10,2.7,0
677,CUST0677,Sara Ali,31.0,Female,Quetta,Standard,803.42,1,2,3,20.0,2026-03-03,1.7,1
678,CUST0678,Asad Hashmi,30.0,Male,Multan,Basic,551.61,4,8,0,11.0,2026-05-11,5.0,0
679,CUST0679,Hassan Baig,51.0,Male,Peshawar,Basic,426.23,27,46,1,0.0,2026-04-20,3.1,0
